read all from book,5/26/2023 10:55
read all from book,2023-05-26 10:58:56
read from author,2023-05-26 10:58:56
read all from author,2023-05-26 11:04:46
read all from publisher,2023-05-26 11:04:47
read all from genre,2023-05-26 11:04:48
write tobook,2023-05-26 11:04:51
read all from book,2023-05-26 11:04:59
delete frombook,2023-05-26 11:05:02
